wandb_id,condition,delay_k,step,reward_mean,lifespan_mean,fm_mse_eval,fm_mse_train_p50,fm_mse_train_p25,fm_mse_train_p75,action_sigma,encoder_kl,joint_l2_error,termination_rate
dgv264dt,expfm_2g,0,10076160,683.2861328125,245.3720703125,0.0094359926879405,0.014660645276308,0.0111979804933071,0.0201182644814252,0.608845055103302,4.582791805267334,2.442075252532959,0.0083372648805379
dgv264dt,expfm_2g,0,20070400,806.15283203125,266.361328125,0.0065235551446676,0.0050085168331861,0.0038619264960289,0.0067870635539293,0.5403326153755188,5.231447219848633,2.087907314300537,0.0072683785110712
dgv264dt,expfm_2g,0,30064640,920.8255004882812,282.8779296875,0.0011370945721864,0.0031130667775869,0.0023850621655583,0.004259908106178,0.5098583102226257,6.096123695373535,1.8898324966430664,0.006096544675529
dgv264dt,expfm_2g,0,40058880,962.6318969726562,284.427734375,0.0048818415962159,0.0040963403880596,0.0033528378698974,0.0050870687700808,0.4820095002651214,6.26555061340332,1.8505159616470337,0.0053211017511785
dgv264dt,expfm_2g,0,50053120,1040.6397705078125,295.490234375,0.0016272853827103,0.0230552963912487,0.0188268311321735,0.0291850231587886,0.4643116891384125,7.012289524078369,1.7244226932525637,0.0048483028076589
dgv264dt,expfm_2g,0,60047360,1106.350341796875,307.8818359375,0.0008866309653967,0.0015946544008329,0.0012267023557797,0.0021891486831009,0.4427613317966461,8.073379516601562,1.7447609901428225,0.0039706225506961
dgv264dt,expfm_2g,0,70041600,1204.9722900390625,332.9130859375,0.0020877681672573,0.0015070636291056,0.0011470539029687,0.0020949500612914,0.4283994436264038,8.746581077575684,1.6911197900772097,0.0031912983395159
dgv264dt,expfm_2g,0,80035840,1257.646484375,340.775390625,0.0007095879409462,0.0015803452115505,0.0011793812736868,0.0022505996748805,0.4316933453083038,8.445303916931152,1.6398979425430298,0.0028929263353347
dgv264dt,expfm_2g,0,90030080,1428.632080078125,374.2705078125,0.0007771287928335,0.0030145393684506,0.0024803499691188,0.0037832641974091,0.4214794933795929,9.33506965637207,1.5911917686462402,0.0020284377969801
dgv264dt,expfm_2g,0,100024320,1587.82763671875,404.7060546875,0.0006018839776515,0.0013454128056764,0.0010095750913023,0.0019123585661873,0.4131874442100525,9.58723258972168,1.506970763206482,0.001143158879131
dgv264dt,expfm_2g,0,110018560,1704.1641845703125,425.17578125,0.0010703345760703,0.0023002200759947,0.0019528757547959,0.0028274711221456,0.4084628820419311,10.178359985351562,1.437558650970459,0.0006054255645722
dgv264dt,expfm_2g,0,120012800,1740.158935546875,429.4970703125,0.0003027057391591,0.0008236967260017,0.0005991745274513,0.0012284902622923,0.3970764279365539,10.918462753295898,1.4312214851379397,0.0005333701265044
dgv264dt,expfm_2g,0,130007040,1762.6502685546875,432.66015625,0.0005103068542666,0.0010734144598245,0.0008158739074133,0.0015073677059262,0.4006239175796509,11.207862854003906,1.398864984512329,0.0003897333226632
dgv264dt,expfm_2g,0,140001280,1815.0701904296875,438.9287109375,0.0005706587689928,0.0009468479547649,0.0007760814623907,0.0012335678329691,0.3883889019489288,11.91645622253418,1.3371195793151855,0.0002427586878184
dgv264dt,expfm_2g,0,150077440,1823.2861328125,438.9140625,0.001892126398161,0.0009096508147194,0.0007446422241628,0.0011899501550942,0.3938564658164978,11.90483856201172,1.3771620988845823,0.0002392349997535
dgv264dt,expfm_2g,0,160071680,1807.4139404296875,432.3798828125,0.0014710191171616,0.0016154503682628,0.0014002954121679,0.0019539527129381,0.3844462931156158,12.57381534576416,1.355093002319336,0.0004363462212495
dgv264dt,expfm_2g,0,170065920,1829.004638671875,435.1728515625,0.0004364236956462,0.0004686277825385,0.0003434063983149,0.0006937120342627,0.3842679858207702,13.068841934204102,1.354907751083374,0.0003807462053373
dgv264dt,expfm_2g,0,180060160,1878.5938720703125,441.7685546875,0.0002682287013158,0.0004756469279527,0.0003577079914975,0.000678195268847,0.3749885857105255,13.408557891845703,1.2982237339019775,0.0001360589230898
dgv264dt,expfm_2g,0,190054400,1858.59130859375,438.5517578125,0.0007168210577219,0.0097266966477036,0.0086908331140875,0.0109242126345634,0.3742347359657287,13.426088333129885,1.3060975074768066,0.0002215868444181
dgv264dt,expfm_2g,0,200048640,1882.986083984375,441.564453125,0.0002184237528126,0.0006423849845305,0.0005291822599247,0.0008279829053208,0.3755668103694916,13.98969268798828,1.3162524700164795,0.0001359147863695
dgv264dt,expfm_2g,0,210042880,1882.8388671875,441.021484375,0.0001224056031787,0.0004113454488106,0.0003084013005718,0.0005878743249922,0.3755298256874084,14.112110137939451,1.3144314289093018,0.0001406645460519
dgv264dt,expfm_2g,0,220037120,1896.4100341796875,442.54296875,0.0003387070901226,0.0014603015733882,0.0012875548563897,0.0016984606627374,0.36993408203125,14.188002586364746,1.3025617599487305,0.0001096906053135
dgv264dt,expfm_2g,0,230031360,1905.7335205078125,443.8720703125,0.0001087120181182,0.0003972316626459,0.0002968026674352,0.0005685347714461,0.3699081838130951,14.181791305541992,1.274170160293579,7.693310908507556e-05
